firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted,vector_intersection,matrix_intersection,label1,label2,label3
1,1,F0,0.53,"Change price: 0.03, reason: Higher share rate of 0.53 suggests increased likelihood of purchases, allowing a slight price increase to maximize profit.",7.42,14,7.42,0.0,"[0.5326265868048913, 'adaptive']","[1, 3, 3, 3, 3, 2, 1, 2]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",,True,less
1,2,F0,0.5,"Change price: -0.03, reason: Lower predicted share rate of 0.0 indicates reduced likelihood of purchases, requiring a price decrease to boost sales and maximize profit.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[2, 3, 3, 2, 1, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",,True,less
1,3,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain basic price of 0.50 to optimize sales and profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[2, 3, 3, 2, 1, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",,True,less
1,4,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[1, 3, 3, 2, 2, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0, 0]]",,True,less
1,5,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[2, 3, 3, 2, 1, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",,True,less
1,6,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[1, 3, 3, 2, 2, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 1, 0]]",,True,less
1,7,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[2, 3, 3, 2, 1, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 1, 0, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 1, 0]]",,True,less
1,8,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[1, 3, 3, 2, 2, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0]]",,True,less
1,9,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[1, 3, 3, 2, 2, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 1, 1, 0]]",,True,less
1,10,F0,0.5,"Change price: 0, reason: Predicted share rate of 0.0 indicates low engagement, so maintain price of 0.50 to sustain sales and maximize profit in a monopoly market.",7.5,15,7.5,0.0,"[0.0, 'adaptive']","[1, 3, 2, 2, 3, 1, 2, 3]","[[0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 1, 0]]",,True,less
