firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
1,1,F0,0.6,"Change price: 0.10, reason: Moderate increase due to low competition and moderate share rate boosting purchase likelihood.",3.6,6,3.6,0.0,"[0.299945218094942, 'adaptive']"
1,2,F0,0.6,"Change price: 0.00, reason: Maintain price due to single firm and zero share rate, ensuring steady demand.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,3,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand with single firm and zero share rate.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,4,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand with single firm and zero share rate.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,5,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand with single firm and zero share rate.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,6,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand with single firm and zero share rate.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,7,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand with single firm and zero share rate.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,8,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand with single firm and zero share rate.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,9,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand with single firm and zero share rate.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
1,10,F0,0.6,"Change price: 0.00, reason: Maintain price due to stable demand and zero share rate with no competition.",3.6,6,3.6,0.0,"[0.0, 'adaptive']"
2,1,F0,0.6,"Change price: 0.10, reason: Higher share rate boosts personalized recommendations, increasing purchase likelihood, allowing a higher price.",4.2,7,4.2,1.0,"[0.5994979031399252, 'adaptive']"
2,1,F1,0.6,"Change price: 0.10, reason: High share rate increases personalized recommendations, reducing search and allowing a higher price.",3.6,6,3.6,1.0,"[0.7318950179120035, 'adaptive']"
2,2,F0,0.7,"Change price: 0.10, reason: High share rate ensures strong personalized recommendations, increasing purchase likelihood and allowing a higher price.",4.2,6,4.2,1.0,"[1.0, 'adaptive']"
2,2,F1,0.7,"Change price: 0.10, reason: High share rate and strong personalized recommendations reduce search, allowing a higher price.",2.1,3,2.1,1.0,"[1.0, 'adaptive']"
2,3,F0,0.75,"Change price: 0.05, reason: Maintain high share rate and personalized recommendations, allowing a slight price increase to maximize profit.",3.0,4,3.0,1.0,"[1.0, 'adaptive']"
2,3,F1,0.6,"Change price: -0.10, reason: High price reduced sales despite full share rate; lowering price to increase buyers and total profit.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
2,4,F0,0.7,"Change price: -0.05, reason: Decrease price slightly to boost sales volume and maximize profit after observing drop in sales at 0.75.",4.2,6,4.2,1.0,"[1.0, 'adaptive']"
2,4,F1,0.6,"Change price: 0.00, reason: Current price balances sales and profit well under full share rate and competition.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
2,5,F0,0.75,"Change price: 0.05, reason: Slightly increase price to test if higher price maintains profit with current high share rate and personalized recommendations.",3.0,4,3.0,1.0,"[1.0, 'adaptive']"
2,5,F1,0.6,"Change price: 0.00, reason: Current price balances sales and profit well under full share rate and competition.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
2,6,F0,0.7,"Change price: -0.05, reason: Decrease price slightly to boost sales volume and maximize profit after observing drop in sales at 0.75.",4.2,6,4.2,1.0,"[1.0, 'adaptive']"
2,6,F1,0.6,"Change price: 0.00, reason: Current price balances sales and profit well under full share rate and competition.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
2,7,F0,0.7,"Change price: 0.00, reason: Maintain stable price at 0.7 to balance sales volume and profit with consistent high share rate and personalized recommendations.",4.2,6,4.2,1.0,"[1.0, 'adaptive']"
2,7,F1,0.6,"Change price: 0.00, reason: Current price balances sales and profit well under full share rate and competition.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
2,8,F0,0.7,"Change price: 0.00, reason: Maintain stable price at 0.7 to balance sales volume and profit with consistent high share rate and personalized recommendations.",4.2,6,4.2,1.0,"[1.0, 'adaptive']"
2,8,F1,0.6,"Change price: 0.00, reason: Current price balances sales and profit well under full share rate and competition.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
2,9,F0,0.7,"Change price: 0.00, reason: Maintain stable price to balance sales volume and profit with consistent high share rate and personalized recommendations.",4.2,6,4.2,1.0,"[1.0, 'adaptive']"
2,9,F1,0.6,"Change price: 0.00, reason: Current price balances sales and profit well under full share rate and competition.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
2,10,F0,0.7,"Change price: 0.00, reason: Maintain stable price to balance sales volume and profit with consistent high share rate and personalized recommendations.",4.2,6,4.2,1.0,"[1.0, 'adaptive']"
2,10,F1,0.6,"Change price: 0.00, reason: Current price balances sales and profit well under full share rate and competition.",3.6,6,3.6,1.0,"[1.0, 'adaptive']"
3,1,F0,0.6,"Change price: 0.10, reason: High share rate boosts personalized recommendations, reducing search and increasing purchase likelihood, allowing a higher price.",4.8,8,4.8,1.0,"[0.7119400949303012, 'adaptive']"
3,1,F1,0.55,"Change price: 0.05, reason: Moderate share rate boosts personalized recommendations, allowing a slight price increase to maximize profit.",2.2,4,2.2,1.0,"[0.09198235627331341, 'adaptive']"
3,1,F2,0.6,"Change price: 0.10, reason: Moderate increase due to personalized recommendations boosting purchase likelihood despite competition.",2.4,4,2.4,1.0,"[0.42527238196360884, 'adaptive']"
3,2,F0,0.7,"Change price: 0.10, reason: High share rate and competition increase recommendation effectiveness, allowing a higher price.",5.6,8,5.6,1.0,"[1.0, 'adaptive']"
3,2,F1,0.6,"Change price: 0.05, reason: High share rate and strong personalization reduce search, allowing a slight price increase to maximize profit.",1.8,3,1.8,1.0,"[1.0, 'adaptive']"
3,2,F2,0.7,"Change price: 0.10, reason: Increase price due to high share rate enhancing purchase likelihood despite competition.",2.1,3,2.1,1.0,"[1.0, 'adaptive']"
3,3,F0,0.8,"Change price: 0.10, reason: High share rate and strong competition sustain recommendation value, supporting a higher price.",6.4,8,6.4,1.0,"[1.0, 'adaptive']"
3,3,F1,0.55,"Change price: -0.05, reason: Slightly reduce price to attract more buyers despite high competition and full data sharing.",2.2,4,2.2,1.0,"[1.0, 'adaptive']"
3,3,F2,0.6,"Change price: -0.10, reason: Decrease price to boost sales volume despite high share rate and competition.",2.4,4,2.4,1.0,"[1.0, 'adaptive']"
3,4,F0,0.9,"Change price: 0.10, reason: High share rate and competition maintain strong recommendation impact, supporting a higher price.",3.6,4,3.6,1.0,"[1.0, 'adaptive']"
3,4,F1,0.6,"Change price: 0.05, reason: High share rate and strong personalization reduce search, allowing a slight price increase to maximize profit.",1.8,3,1.8,1.0,"[1.0, 'adaptive']"
3,4,F2,0.7,"Change price: 0.10, reason: Increase price due to consistent high share rate and strong personalized recommendation effect boosting purchase likelihood despite competition.",2.1,3,2.1,1.0,"[1.0, 'adaptive']"
3,5,F0,0.7,"Change price: -0.20, reason: Sales dropped at 0.9 price despite high share rate, lowering price to 0.7 to increase purchase likelihood and maximize profit.",5.6,8,5.6,1.0,"[1.0, 'adaptive']"
3,5,F1,0.55,"Change price: -0.05, reason: Slightly lower price to attract more buyers amid stable high share rate and competition.",2.2,4,2.2,1.0,"[1.0, 'adaptive']"
3,5,F2,0.6,"Change price: -0.10, reason: Decrease price slightly to boost sales volume despite high share rate and competition.",2.4,4,2.4,1.0,"[1.0, 'adaptive']"
3,6,F0,0.8,"Change price: 0.10, reason: High share rate and competition support higher price, previous sales strong at 0.7, try 0.8 to maximize profit.",6.4,8,6.4,1.0,"[1.0, 'adaptive']"
3,6,F1,0.6,"Change price: 0.05, reason: High share rate and strong personalization reduce search, allowing a slight price increase to maximize profit.",1.8,3,1.8,1.0,"[1.0, 'adaptive']"
